192.168.1.142, 2017-05-19 20:54:56, GET, /, HTTP/1.1, 303, 0.003599
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/default/index, HTTP/1.1, 200, 1.434682
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001635
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001345
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001106
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001177
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.011750
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.011704
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001167
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001186
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001166
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001197
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001004
192.168.1.142, 2017-05-19 20:54:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.003801
192.168.1.142, 2017-05-19 20:54:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001262
192.168.1.142, 2017-05-19 20:54:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001036
192.168.1.142, 2017-05-19 20:54:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001017
192.168.1.142, 2017-05-19 20:54:59, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001177
192.168.1.128, 2017-05-19 20:58:42, GET, /, HTTP/1.1, 303, 0.002342
192.168.1.128, 2017-05-19 20:58:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.134544
192.168.1.128, 2017-05-19 20:58:42, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003944
192.168.1.128, 2017-05-19 20:58:42, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002608
192.168.1.128, 2017-05-19 20:58:42, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003718
192.168.1.128, 2017-05-19 20:58:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002013
